worker1-1  | 2024/06/04 17:54:31.268 FIG10b: Memory usage without flush after 19825 tasks: 1147.01953125 MB
worker1-1  | 2024/06/04 17:54:32.320 FIG10b: Memory usage without flush after 19938 tasks: 1146.8828125 MB
worker1-1  | 2024/06/04 17:54:33.341 FIG10b: Memory usage without flush after 20060 tasks: 1146.9375 MB
worker1-1  | 2024/06/04 17:54:34.346 FIG10b: Memory usage without flush after 20156 tasks: 1146.41796875 MB
worker1-1  | 2024/06/04 17:54:35.395 FIG10b: Memory usage without flush after 20260 tasks: 1147.53125 MB
worker1-1  | took this many seconds: 0.02142024/06/04 17:54:36.409 FIG10b: Memory usage without flush after 20364 tasks: 1147.203125 MB
worker1-1  | 2024/06/04 17:54:37.413 FIG10b: Memory usage without flush after 20475 tasks: 1147.32421875 MB
worker1-1  | 2024/06/04 17:54:38.418 [worker]2024/06/04 17:54:38.418 FIG10b: Memory usage without flush after 20557 tasks: 1147.59765625 MB
worker1-1  | took this many seconds: 0.0115 2024/06/04 17:54:39.4182024/06/04 17:54:39.418 FIG10b: Memory usage without flush after 20673 tasks: 1147.4453125 MB
worker1-1  | 2024/06/04 17:54:40.4292024/06/04 17:54:40.429 FIG10b: Memory usage without flush after 20773 tasks: 1147.625 MB
worker1-1  | 2024/06/04 17:54:41.441 FIG10b: Memory usage without flush after 20873 tasks: 1149.32421875 MB
worker1-1  |  2024/06/04 17:54:42.446 FIG10b: Memory usage without flush after 20968 tasks: 1149.02734375 MB
worker1-1  | 2024/06/04 17:54:43.447 2024/06/04 17:54:43.447[worker] FIG10b: Memory usage without flush after 21083 tasks: 1149.37890625 MB
worker1-1  | 2024/06/04 17:54:44.448 FIG10b: Memory usage without flush after 21185 tasks: 1149.0546875 MB
worker1-1  | 2024/06/04 17:54:45.458 FIG10b: Memory usage without flush after 21273 tasks: 1149.53125 MB
worker1-1  | 2024/06/04 17:54:46.4602024/06/04 17:54:46.460 FIG10b: Memory usage without flush after 21372 tasks: 1149.96484375 MB
worker1-1  |  gonna store nowin Run() rn2024/06/04 17:54:47.461 FIG10b: Memory usage without flush after 21481 tasks: 1149.6015625 MB
worker1-1  | 2024/06/04 17:54:48.467 FIG10b: Memory usage without flush after 21574 tasks: 1149.79296875 MB
worker1-1  | 2024/06/04 17:54:49.4682024/06/04 17:54:49.468 FIG10b: Memory usage without flush after 21684 tasks: 1149.68359375 MB
worker1-1  | 2024/06/04 17:54:50.471 FIG10b: Memory usage without flush after 21797 tasks: 1150.765625 MB
worker1-1  | [worker]2024/06/04 17:54:51.4752024/06/04 17:54:51.4752024/06/04 17:54:51.475 FIG10b: Memory usage without flush after 21908 tasks: 1150.83203125 MB
worker1-1  | 2024/06/04 17:54:52.476 [worker]gonna store now2024/06/04 17:54:52.477 FIG10b: Memory usage without flush after 22020 tasks: 1151.71875 MB
worker1-1  | 2024/06/04 17:54:53.483 2024/06/04 17:54:53.4842024/06/04 17:54:53.485 FIG10b: Memory usage without flush after 22130 tasks: 1153.14453125 MB
worker1-1  | 2024/06/04 17:54:54.487 FIG10b: Memory usage without flush after 22240 tasks: 1153.86328125 MB
worker1-1  |  FIG10b: Memory usage without flush after 22345 tasks: 1152.5078125 MB
worker1-1  |  Executed!2024/06/04 17:54:56.494 FIG10b: Memory usage without flush after 22446 tasks: 1152.77734375 MB
worker1-1  | stored...2024/06/04 17:54:57.4982024/06/04 17:54:57.498 FIG10b: Memory usage without flush after 22554 tasks: 1153.44921875 MB
worker1-1  | FIG10b: Memory usage without flush after 22658 tasks: 1154.15234375 MB
worker1-1  | 2024/06/04 17:54:59.5082024/06/04 17:54:59.508 stored...2024/06/04 17:54:59.509 FIG10b: Memory usage without flush after 22764 tasks: 1153.2890625 MB
worker1-1  | 2024/06/04 17:55:00.5132024/06/04 17:55:00.5142024/06/04 17:55:00.514 FIG10b: Memory usage without flush after 22866 tasks: 1153.59375 MB
worker1-1  | 2024/06/04 17:55:01.516 FIG10b: Memory usage without flush after 22966 tasks: 1146.75390625 MB
worker1-1  | 2024/06/04 17:55:02.522 FIG10b: Memory usage without flush after 23071 tasks: 1147.3984375 MB
worker1-1  | 2024/06/04 17:55:03.5252024/06/04 17:55:03.5252024/06/04 17:55:03.525 [worker]2024/06/04 17:55:03.526 FIG10b: Memory usage without flush after 23170 tasks: 1147.75 MB
worker1-1  | 2024/06/04 17:55:04.530 FIG10b: Memory usage without flush after 23265 tasks: 1148.02734375 MB
worker1-1  |  2024/06/04 17:55:05.532gonna store now FIG10b: Memory usage without flush after 23373 tasks: 1148.5625 MB
worker1-1  |  stored...2024/06/04 17:55:06.538 FIG10b: Memory usage without flush after 23476 tasks: 1148.30859375 MB
worker1-1  |  2024/06/04 17:55:07.549 FIG10b: Memory usage without flush after 23579 tasks: 1149.0078125 MB
worker1-1  | 2024/06/04 17:55:08.5552024/06/04 17:55:08.555 FIG10b: Memory usage without flush after 23686 tasks: 1149.26953125 MB
worker1-1  | 2024/06/04 17:55:09.555  2024/06/04 17:55:09.5562024/06/04 17:55:09.556[worker] FIG10b: Memory usage without flush after 23793 tasks: 1149.5390625 MB
worker1-1  |  FIG10b: Memory usage without flush after 23900 tasks: 1150.2421875 MB
worker1-1  | Executed!2024/06/04 17:55:11.580 2024/06/04 17:55:11.580 FIG10b: Memory usage without flush after 24006 tasks: 1150.45703125 MB
worker1-1  | 2024/06/04 17:55:12.5802024/06/04 17:55:12.581 FIG10b: Memory usage without flush after 24106 tasks: 1150.4765625 MB
worker1-1  |  2024/06/04 17:55:13.586  FIG10b: Memory usage without flush after 24208 tasks: 1151.46484375 MBExecuted!
worker1-1  |  2024/06/04 17:55:14.593 FIG10b: Memory usage without flush after 24318 tasks: 1151.48046875 MB
worker1-1  | 2024/06/04 17:55:15.596 FIG10b: Memory usage without flush after 24429 tasks: 1151.9609375 MB
worker1-1  | [worker] in Run() rn2024/06/04 17:55:16.597 FIG10b: Memory usage without flush after 24529 tasks: 1151.734375 MB
worker1-1  | FIG10b: Memory usage without flush after 24629 tasks: 1152.2421875 MB
worker1-1  | 2024/06/04 17:55:18.602 [worker]2024/06/04 17:55:18.602 FIG10b: Memory usage without flush after 24715 tasks: 1152.42578125 MB
worker1-1  | 2024/06/04 17:55:19.6102024/06/04 17:55:19.611 FIG10b: Memory usage without flush after 24801 tasks: 1152.6953125 MB
worker1-1  | 2024/06/04 17:55:20.617 FIG10b: Memory usage without flush after 24897 tasks: 1153.1640625 MB
worker1-1  | 2024/06/04 17:55:21.618 FIG10b: Memory usage without flush after 24992 tasks: 1151.421875 MB
