worker1-1  |  2024/06/04 01:46:37.404 FIG10b: Memory usage without flush after 17985 tasks: 1056.26171875 MB
worker1-1  | 2024/06/04 01:46:38.409 FIG10b: Memory usage without flush after 18110 tasks: 1056.53125 MB
worker1-1  | 2024/06/04 01:46:39.409 FIG10b: Memory usage without flush after 18244 tasks: 1056.0234375 MB
worker1-1  | FIG10b: Memory usage without flush after 18372 tasks: 1056.2890625 MB
worker1-1  | 2024/06/04 01:46:41.423 FIG10b: Memory usage without flush after 18501 tasks: 1056.2890625 MB
worker1-1  | 2024/06/04 01:46:42.432 FIG10b: Memory usage without flush after 18623 tasks: 1054.0234375 MB
worker1-1  | FIG10b: Memory usage without flush after 18667 tasks: 1053.7734375 MB
worker1-1  | 2024/06/04 01:46:44.463 FIG10b: Memory usage without flush after 18744 tasks: 1054.8125 MB
worker1-1  | 2024/06/04 01:46:45.4672024/06/04 01:46:45.467 FIG10b: Memory usage without flush after 18889 tasks: 1057.625 MB
worker1-1  | 2024/06/04 01:46:46.468 FIG10b: Memory usage without flush after 19002 tasks: 1057.4609375 MB
worker1-1  | 2024/06/04 01:46:47.471 FIG10b: Memory usage without flush after 19119 tasks: 1057.5390625 MB
worker1-1  | 2024/06/04 01:46:48.477 [worker] 2024/06/04 01:46:48.477 FIG10b: Memory usage without flush after 19241 tasks: 1058.07421875 MB
worker1-1  | 2024/06/04 01:46:49.483 2024/06/04 01:46:49.484 FIG10b: Memory usage without flush after 19368 tasks: 1057.34375 MB
worker1-1  | 2024/06/04 01:46:50.486 FIG10b: Memory usage without flush after 19491 tasks: 1058.125 MB
worker1-1  | Executed!stored...2024/06/04 01:46:51.492 FIG10b: Memory usage without flush after 19623 tasks: 1057.625 MB
worker1-1  | 2024/06/04 01:46:52.494 FIG10b: Memory usage without flush after 19754 tasks: 1057.8671875 MB
worker1-1  |   2024/06/04 01:46:53.494 2024/06/04 01:46:53.495[worker] in Run() rnFIG10b: Memory usage without flush after 19884 tasks: 1058.58203125 MB
worker1-1  |  2024/06/04 01:46:54.505 FIG10b: Memory usage without flush after 20013 tasks: 1058.33984375 MB
worker1-1  | 2024/06/04 01:46:55.507 FIG10b: Memory usage without flush after 20141 tasks: 1058.59375 MB
worker1-1  |  [worker]2024/06/04 01:46:56.511 FIG10b: Memory usage without flush after 20257 tasks: 1058.42578125 MB
worker1-1  | 2024/06/04 01:46:57.516 FIG10b: Memory usage without flush after 20374 tasks: 1059.72265625 MB
worker1-1  | 2024/06/04 01:46:58.538 FIG10b: Memory usage without flush after 20494 tasks: 1059.53515625 MB
worker1-1  | 2024/06/04 01:46:59.542 FIG10b: Memory usage without flush after 20609 tasks: 1059.1328125 MB
worker1-1  | 2024/06/04 01:47:00.544 FIG10b: Memory usage without flush after 20720 tasks: 1059.484375 MB
worker1-1  |  2024/06/04 01:47:01.5462024/06/04 01:47:01.546 FIG10b: Memory usage without flush after 20836 tasks: 1059.82421875 MB
worker1-1  | stored...2024/06/04 01:47:02.553 FIG10b: Memory usage without flush after 20970 tasks: 1059.3125 MB
worker1-1  | 2024/06/04 01:47:03.555 FIG10b: Memory usage without flush after 21097 tasks: 1059.3359375 MB
worker1-1  | 2024/06/04 01:47:04.557 2024/06/04 01:47:04.558 FIG10b: Memory usage without flush after 21229 tasks: 1059.5625 MB
worker1-1  | 2024/06/04 01:47:05.560 FIG10b: Memory usage without flush after 21355 tasks: 1059.09375 MB
worker1-1  | 2024/06/04 01:47:06.562 FIG10b: Memory usage without flush after 21487 tasks: 1059.08984375 MB
worker1-1  | 2024/06/04 01:47:07.5692024/06/04 01:47:07.569 FIG10b: Memory usage without flush after 21615 tasks: 1060.8046875 MB
worker1-1  | [worker] 2024/06/04 01:47:08.5772024/06/04 01:47:08.577 FIG10b: Memory usage without flush after 21737 tasks: 1061.99609375 MB
worker1-1  | 2024/06/04 01:47:09.579 FIG10b: Memory usage without flush after 21864 tasks: 1062.77734375 MB
worker1-1  | 2024/06/04 01:47:10.580 FIG10b: Memory usage without flush after 21993 tasks: 1062.42578125 MB
worker1-1  | 2024/06/04 01:47:11.581 FIG10b: Memory usage without flush after 22125 tasks: 1062.2421875 MB
worker1-1  | 2024/06/04 01:47:12.5852024/06/04 01:47:12.586 FIG10b: Memory usage without flush after 22254 tasks: 1062.734375 MB
worker1-1  | 2024/06/04 01:47:13.587 2024/06/04 01:47:13.587 FIG10b: Memory usage without flush after 22390 tasks: 1063.77734375 MB
worker1-1  | 2024/06/04 01:47:14.5962024/06/04 01:47:14.597 FIG10b: Memory usage without flush after 22520 tasks: 1062.53125 MB
worker1-1  | 2024/06/04 01:47:15.6032024/06/04 01:47:15.604 [worker] Executed! FIG10b: Memory usage without flush after 22655 tasks: 1063.47265625 MB
worker1-1  | 2024/06/04 01:47:16.607 FIG10b: Memory usage without flush after 22779 tasks: 1064.97265625 MB
worker1-1  |  FIG10b: Memory usage without flush after 22911 tasks: 1065.3125 MB
worker1-1  | 2024/06/04 01:47:18.6122024/06/04 01:47:18.612  [worker]FIG10b: Memory usage without flush after 23053 tasks: 1065.88671875 MB took this many seconds: 0.00629
worker1-1  |  2024/06/04 01:47:19.613 FIG10b: Memory usage without flush after 23177 tasks: 1066.9296875 MB
worker1-1  | 2024/06/04 01:47:20.620 FIG10b: Memory usage without flush after 23298 tasks: 1066.99609375 MB
worker1-1  | 2024/06/04 01:47:21.6212024/06/04 01:47:21.6212024/06/04 01:47:21.622 FIG10b: Memory usage without flush after 23415 tasks: 1066.796875 MB
worker1-1  | 2024/06/04 01:47:22.6232024/06/04 01:47:22.623 FIG10b: Memory usage without flush after 23537 tasks: 1066.8671875 MB
worker1-1  | 2024/06/04 01:47:23.625 FIG10b: Memory usage without flush after 23658 tasks: 1066.984375 MB
worker1-1  | 2024/06/04 01:47:24.636 [worker] stored...2024/06/04 01:47:24.637 FIG10b: Memory usage without flush after 23781 tasks: 1067.73828125 MB
worker1-1  | 2024/06/04 01:47:25.638 FIG10b: Memory usage without flush after 23921 tasks: 1068.578125 MB
worker1-1  | 2024/06/04 01:47:26.643 FIG10b: Memory usage without flush after 24054 tasks: 1068.1796875 MB
worker1-1  | 2024/06/04 01:47:27.648 FIG10b: Memory usage without flush after 24179 tasks: 1068.94921875 MB
worker1-1  | 2024/06/04 01:47:28.6492024/06/04 01:47:28.649 FIG10b: Memory usage without flush after 24315 tasks: 1068.9765625 MB
worker1-1  | 2024/06/04 01:47:29.6512024/06/04 01:47:29.651 2024/06/04 01:47:29.652 FIG10b: Memory usage without flush after 24451 tasks: 1069.81640625 MB
worker1-1  | in Run() rn2024/06/04 01:47:30.659 FIG10b: Memory usage without flush after 24580 tasks: 1070.40234375 MB
worker1-1  | in Run() rn2024/06/04 01:47:31.666 FIG10b: Memory usage without flush after 24715 tasks: 1070.03515625 MB
worker1-1  | 2024/06/04 01:47:32.671 FIG10b: Memory usage without flush after 24843 tasks: 1069.390625 MB
worker1-1  | 2024/06/04 01:47:33.6772024/06/04 01:47:33.677 FIG10b: Memory usage without flush after 24976 tasks: 1069.23828125 MB
worker1-1  |  2024/06/04 01:47:34.678 FIG10b: Memory usage without flush after 25108 tasks: 1069.671875 MB
worker1-1  | 2024/06/04 01:47:35.685 FIG10b: Memory usage without flush after 25243 tasks: 1070.22265625 MB
worker1-1  | 2024/06/04 01:47:36.686 [worker]2024/06/04 01:47:36.687 FIG10b: Memory usage without flush after 25374 tasks: 1069.4296875 MB
worker1-1  | 2024/06/04 01:47:37.694 FIG10b: Memory usage without flush after 25495 tasks: 1069.1328125 MB
worker1-1  | 2024/06/04 01:47:38.700 FIG10b: Memory usage without flush after 25621 tasks: 1069.8671875 MB
worker1-1  | 2024/06/04 01:47:39.702 FIG10b: Memory usage without flush after 25740 tasks: 1069.93359375 MB
worker1-1  | 2024/06/04 01:47:40.704 FIG10b: Memory usage without flush after 25870 tasks: 1069.94140625 MB
worker1-1  | [worker]2024/06/04 01:47:41.709 FIG10b: Memory usage without flush after 26001 tasks: 1070.42578125 MB
worker1-1  | 2024/06/04 01:47:42.711 FIG10b: Memory usage without flush after 26133 tasks: 1071.3828125 MB
worker1-1  | 2024/06/04 01:47:43.715 FIG10b: Memory usage without flush after 26263 tasks: 1071.140625 MB
worker1-1  | 2024/06/04 01:47:44.721 FIG10b: Memory usage without flush after 26395 tasks: 1071.86328125 MB
worker1-1  |  gonna store now[worker] took this many seconds: 0.02082024/06/04 01:47:45.725 FIG10b: Memory usage without flush after 26525 tasks: 1071.625 MB
worker1-1  | 2024/06/04 01:47:46.7292024/06/04 01:47:46.729 FIG10b: Memory usage without flush after 26659 tasks: 1076.58203125 MB
worker1-1  | 2024/06/04 01:47:47.732 FIG10b: Memory usage without flush after 26779 tasks: 1077.11328125 MB
worker1-1  | 2024/06/04 01:47:48.7382024/06/04 01:47:48.738 FIG10b: Memory usage without flush after 26902 tasks: 1078.12890625 MB
worker1-1  | 2024/06/04 01:47:49.743 FIG10b: Memory usage without flush after 27028 tasks: 1078.8984375 MB
worker1-1  | FIG10b: Memory usage without flush after 27150 tasks: 1083.44140625 MB
worker1-1  | 2024/06/04 01:47:51.755 FIG10b: Memory usage without flush after 27277 tasks: 1083.46484375 MB
worker1-1  | 2024/06/04 01:47:52.759 FIG10b: Memory usage without flush after 27393 tasks: 1083.05078125 MB
worker1-1  | 2024/06/04 01:47:53.762 FIG10b: Memory usage without flush after 27509 tasks: 1084.11328125 MB
worker1-1  | 2024/06/04 01:47:54.767 FIG10b: Memory usage without flush after 27629 tasks: 1084.171875 MB
worker1-1  | 2024/06/04 01:47:55.7712024/06/04 01:47:55.772 FIG10b: Memory usage without flush after 27751 tasks: 1088.953125 MB
worker1-1  | 2024/06/04 01:47:56.776 2024/06/04 01:47:56.777stored... FIG10b: Memory usage without flush after 27870 tasks: 1088.765625 MB
